Name,SMILES,Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds
,CN(C(=O)NC1CCOc2ccccc21)C(c1ccccc1)c1ccccn1,Z447596076,1186474-R-001,A02,373.448,2.419,1,54.460,4
,Cn1cc(C(=O)N2CCC(OC3CCOC3)CC2)c(C2CC2)n1,Z2180753156,1186474-R-001,A03,319.399,-0.570,0,56.590,4
,CC(=O)N(C)C1CCN(C(=O)c2ccccc2-c2ccccc2C(=O)O)CC1,Z2295858832,1186474-R-001,A04,380.437,0.559,1,77.920,4
,COCC1(CNc2cnccc2C#N)CCNCC1,Z2030994006,1186474-R-001,A05,260.335,0.902,2,69.970,5
,CCCCOc1ccc(-c2nnc3n2CCCC3)cc1OC,Z273627850,1186474-R-001,A06,301.383,3.227,0,49.170,6
,Cc1cccc(N2CCN(C(=O)NC3CCN(c4ccccn4)C3)CC2)c1,Z1505964370,1186474-R-001,A07,365.472,3.409,1,51.710,3
,CCC(NC(=O)c1csnc1C)(C(=O)O)c1ccc(Cl)cc1,Z2068101792,1186474-R-001,A08,338.809,3.123,2,79.290,5
,Cc1n[nH]c([C@@H]2CC[C@H](CNC(=O)Cc3ccccc3Cl)O2)n1,Z2396369939,1186474-R-001,A09,334.801,1.609,2,79.900,5
,COc1cccc(OC)c1S(=O)(=O)N[C@H](C(=O)O)C(C)C,Z1738264391,1186474-R-001,A10,317.358,1.297,2,101.930,6
,Cc1ncc(CN2CCN(C(=O)c3cc[nH]c3C(C)C)CC2)s1,Z2070552236,1186474-R-001,A11,332.464,2.339,1,52.230,4
,Cc1ccc(-c2noc(CN3CC=C(c4c[nH]c5ccccc45)CC3)n2)cc1,Z319033142,1186474-R-001,B02,370.447,4.412,1,57.950,4
,Cc1nc2cncc(N3CCN(C(=O)Nc4ccccn4)CC3)n2n1,Z1759822666,1186474-R-001,B03,338.367,0.431,1,91.550,2
,Cn1cncc1C(=O)N1C2CCC1CC(O)(Cc1ccc(F)cc1F)C2,Z2164683736,1186474-R-001,B04,361.386,0.602,1,58.360,3
,Cc1noc(C)c1CC(=O)Nc1ccc(OC(C)C(=O)O)c(F)c1,Z2755519101,1186474-R-001,B05,336.315,0.930,2,101.660,6
,O=C(O)CC1CN(C(=O)CN2C(=O)CCc3ccccc32)CCO1,Z1445443363,1186474-R-001,B06,332.351,0.971,1,87.150,4
,COC(=O)C1CCc2nnc(COc3ccc(C)c(C)c3)n2CC1,Z2768785624,1186474-R-001,B07,329.394,1.815,0,66.240,5
,CCCN(CC(=O)O)S(=O)(=O)c1cc(C)c(F)cc1F,Z1739068037,1186474-R-001,B08,307.314,3.090,1,74.680,5
,Cc1cc2c(N3CC(NS(C)(=O)=O)C3)nccn2n1,Z3063546889,1186474-R-001,B09,281.334,0.698,1,79.600,2
,COC(=O)c1cc(F)cc(C(=O)N[C@@H](CC(C)C)C(=O)O)c1,Z2936917351,1186474-R-001,B10,311.306,2.969,2,92.700,7
,Cc1noc([C@@H]2C[C@@H](O)[C@@H](CNC(=O)c3cc4ccccc4n3C)C2)n1,Z2764029064,1186474-R-001,B11,354.403,1.430,2,93.180,4
,CC(C)(C)c1noc(CN2CC=C(c3c[nH]c4ccccc34)CC2)n1,Z319037772,1186474-R-001,C02,336.431,3.411,1,57.950,4
,Cc1ccc2[nH]c(C3CCCN3C(=O)NCc3cnc(C)s3)nc2c1,Z953958154,1186474-R-001,C03,355.457,2.333,2,73.910,3
,CC(C)c1cc(C(=O)N2CCC([C@@H]3CC[C@H](C(N)=O)O3)CC2)nn1C,Z2766389960,1186474-R-001,C04,348.440,-0.118,1,90.450,4
,CC(c1nc(C(C)(C)C)no1)N1C(=O)C2C3CCC(O3)C2C1=O,Z2941715744,1186474-R-001,C05,319.356,0.422,0,85.530,3
,O=C(O)CC1COCCN1S(=O)(=O)c1cccc(Cl)c1,Z1404668709,1186474-R-001,C06,319.761,1.825,1,83.910,3
,O=C(O)C1CCCN1S(=O)(=O)c1ccc(OC(F)F)c(Cl)c1,Z400251340,1186474-R-001,C07,355.742,2.770,1,83.910,4
,CCCN(CC(=O)O)S(=O)(=O)c1cc(C(F)(F)F)ccc1C,Z1739067782,1186474-R-001,C08,339.331,3.687,1,74.680,6
,Cc1n[nH]c([C@@H]2CC[C@H](CNC(=O)c3ccc(F)cc3Cl)O2)n1,Z2396371544,1186474-R-001,C09,338.765,1.204,2,79.900,4
,CCOC1CC(CO)(NC(=O)c2cc(Cl)ccc2Cl)C1(C)C,Z1769570336,1186474-R-001,C10,346.249,3.579,2,58.560,5
,Cc1noc([C@@H]2C[C@@H](O)[C@@H](CNC(=O)C3Cc4ccccc4C3)C2)n1,Z2764036822,1186474-R-001,C11,341.404,0.577,2,88.250,4
,O=C(O)CCC1CCCN(C(=O)Cc2c[nH]c3ncccc23)C1,Z1870105404,1186474-R-001,D02,315.367,0.913,2,86.290,5
,Cc1ccc(S(=O)(=O)N2CCCCC2)cc1NCc1cccnc1C,Z2193842526,1186474-R-001,D03,359.486,3.468,1,62.300,4
,COC(=O)C1CCn2c(COCc3ccccc3)nnc2C1,Z2768784290,1186474-R-001,D04,301.340,-0.073,0,66.240,6
,COC(=O)C1CCn2c(CSc3ccc(C)cc3)nnc2C1,Z2768784389,1186474-R-001,D05,317.406,1.397,0,57.010,5
,CC(C)(CNC(=O)N1CCN(S(C)(=O)=O)CC1)c1cccs1,Z1206610932,1186474-R-001,D06,345.481,1.969,1,69.720,3
,CC1CCn2ncc(C(=O)Nc3ccc(OC(C)C(=O)O)c(F)c3)c2C1,Z2755518042,1186474-R-001,D07,361.368,2.091,2,93.450,5
,Cc1cc(NC(=O)CC2C=CCC2)ccc1C(=O)O,Z877702198,1186474-R-001,D08,259.300,3.004,2,66.400,4
,Cn1cc(C(=O)N2CCCC(c3cc(C(F)(F)F)[nH]n3)C2)ccc1=O,Z1269694555,1186474-R-001,D09,354.327,0.634,1,69.300,3
,CCn1nc(C)cc1C(=O)Nc1ccc(OCC(N)=O)cc1,Z995895774,1186474-R-001,D10,302.328,0.420,2,99.240,6
,COc1ccc(C(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)cc1F,Z2764026081,1186474-R-001,D11,349.357,0.635,2,97.480,5
,Cc1cc(N2CCCC(N3CCN(C(=O)C4C5CCCCC54)CC3)C2=O)n(C)n1,Z1629493659,1186474-R-001,E02,399.530,2.548,0,61.680,3
,CCn1cc([C@H]2OCCC[C@@H]2NC(=O)N2C[C@H](C)O[C@H](C)C2)cn1,Z2703302236,1186474-R-001,E03,336.429,1.665,1,68.620,3
,COC(=O)C1CCc2nnc(-c3cnn(C)c3)n2C1,Z2768784076,1186474-R-001,E04,261.280,-0.485,0,74.830,3
,Cc1cscc1C(=O)NC1CCC(NC(=O)c2cscc2C)CC1,Z1510349682,1186474-R-001,E05,362.509,2.424,2,58.200,4
,CC(C(=O)N1CCCCC1C(=O)O)N1CCN(c2ccc(F)cc2)CC1,Z1692968397,1186474-R-001,E06,363.426,1.337,1,64.090,4
,COc1ccccc1CC1CCN(C(=O)c2cccc(C(=O)O)c2)CC1,Z1537402992,1186474-R-001,E07,353.412,3.664,1,66.840,5
,Cc1nn(C)c(C)c1-c1cc(C(=O)N2CCc3c(F)ccc(F)c3C2)[nH]n1,Z1369088242,1186474-R-001,E08,371.384,2.297,1,66.810,2
,CCC(C(=O)O)N1CCN(C2CCOC2)CC1,Z2605276298,1186474-R-001,E09,242.315,-0.391,1,53.010,4
